year	data	locator
1917	166.94925	HND
1918	166.03943	HND
1919	169.21384	HND
1920	166.21622	HND
1921	173.7506	HND
1922	166.39003	HND
1923	154.92873	HND
1924	171.12947	HND
1925	158.6442	HND
1926	170.8308	HND
1927	168.98764	HND
1928	162.94017	HND
1929	170.49673	HND
1930	163.57248	HND
1931	175.48616	HND
1932	180.81041	HND
1933	177.46487	HND
1934	151.1637	HND
1935	149.82352	HND
1936	197.4302	HND
1937	199.9451	HND
1938	164.64285	HND
1939	138.73215	HND
1940	170.37471	HND
1941	174.48125	HND
1942	186.95804	HND
1943	168.57901	HND
1944	206.56876	HND
1945	190.12454	HND
1946	93.79702	HND
1947	176.76146	HND
1948	200.15982	HND
1949	164.69122	HND
1950	164.00522	HND
1951	159.19376	HND
1952	194.65283	HND
1953	145.78363	HND
1954	182.29196	HND
1955	158.7195	HND
1956	154.28513	HND
1957	146.20432	HND
1958	166.86726	HND
1959	129.77261	HND
1960	196.89108	HND
1961	170.40193	HND
1962	185.07634	HND
1963	157.02693	HND
1964	184.20312	HND
1965	135.30714	HND
1966	207.12857	HND
1967	123.495094	HND
1968	189.1363	HND
1969	197.98557	HND
1970	172.09822	HND
1971	135.76027	HND
1972	148.09628	HND
1973	156.59673	HND
1974	153.85938	HND
1975	154.50284	HND
1976	130.48526	HND
1977	148.38646	HND
1978	177.78526	HND
1979	209.09822	HND
1980	168.09286	HND
1981	184.1979	HND
1982	165.28928	HND
1983	152.83661	HND
1984	127.731995	HND
1985	126.00714	HND
1986	145.8183	HND
1987	168.26741	HND
1988	205.9878	HND
1989	159.95149	HND
1990	138.22202	HND
1991	158.33498	HND
1992	177.02812	HND
1993	207.06548	HND
1994	137.2256	HND
1995	194.3369	HND
1996	168.56473	HND
1997	149.75655	HND
1998	174.10953	HND
1999	164.38199	HND
2000	159.21458	HND
2001	155.32173	HND
2002	165.32083	HND
2003	152.44138	HND
2004	172.20401	HND
2005	160.00209	HND
2006	201.67068	HND
2007	175.33438	HND
2008	182.36264	HND
2009	143.23453	HND
1901	263.6435	CRI
1902	205.15833	CRI
1903	240.15234	CRI
1904	212.82812	CRI
1905	255.87785	CRI
1906	223.0409	CRI
1907	181.70677	CRI
1908	250.20755	CRI
1909	281.43567	CRI
1910	211.762	CRI
1911	228.48515	CRI
1912	219.44453	CRI
1913	245.22969	CRI
1914	181.47708	CRI
1915	268.54974	CRI
1916	292.90753	CRI
1917	272.38544	CRI
1918	201.67656	CRI
1919	275.49323	CRI
1920	214.38464	CRI
1921	207.25285	CRI
1922	200.35599	CRI
1923	187.27213	CRI
1924	267.9167	CRI
1925	215.75105	CRI
1926	194.65599	CRI
1927	255.37292	CRI
1928	202.15312	CRI
1929	166.68307	CRI
1930	154.60963	CRI
1931	203.13803	CRI
1932	223.59012	CRI
1933	260.92578	CRI
1934	285.13855	CRI
1935	246.97812	CRI
1936	212.37265	CRI
1937	278.0771	CRI
1938	310.15912	CRI
1939	221.99532	CRI
1940	209.74817	CRI
1941	230.78255	CRI
1942	272.11356	CRI
1943	255.76485	CRI
1944	337.83514	CRI
1945	230.43152	CRI
1946	221.35184	CRI
1947	224.3073	CRI
1948	222.31302	CRI
1949	262.0875	CRI
1950	271.6474	CRI
1951	241.2211	CRI
1952	247.97864	CRI
1953	235.61874	CRI
1954	278.30624	CRI
1955	276.1396	CRI
1956	275.68854	CRI
1957	228.69637	CRI
1958	212.72604	CRI
1959	200.06068	CRI
1960	253.8302	CRI
1961	223.90808	CRI
1962	246.55754	CRI
1963	238.53958	CRI
1964	247.5953	CRI
1965	225.67473	CRI
1966	280.67606	CRI
1967	256.5953	CRI
1968	255.94246	CRI
1969	265.59064	CRI
1970	292.29843	CRI
1971	251.01718	CRI
1972	243.18515	CRI
1973	271.85184	CRI
1974	262.32812	CRI
1975	269.1112	CRI
1976	212.7909	CRI
1977	211.08699	CRI
1978	240.70364	CRI
1979	253.9703	CRI
1980	259.07684	CRI
1981	267.0513	CRI
1982	228.38802	CRI
1983	222.31718	CRI
1984	248.95157	CRI
1985	202.4651	CRI
1986	229.34558	CRI
1987	232.0216	CRI
1988	264.85468	CRI
1989	227.34818	CRI
1990	232.72864	CRI
1991	239.26457	CRI
1992	223.11691	CRI
1993	244.74426	CRI
1994	260.91925	CRI
1995	246.61511	CRI
1996	274.16223	CRI
1997	269.6151	CRI
1998	264.65106	CRI
1999	232.11356	CRI
2000	233.77917	CRI
2001	224.63594	CRI
2002	250.73776	CRI
2003	255.79922	CRI
2004	265.13644	CRI
2005	246.62552	CRI
2006	242.77682	CRI
2007	248.57735	CRI
2008	286.53543	CRI
2009	242.03464	CRI
